brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,model,km_driven_binned,engine_binned,mileage_binned,max_power_binned
Maruti,2014,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5.0,Swift,140000-149999,1200-1299,20-24.990000000000002,60-79
Skoda,2014,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5.0,Rapid,120000-129999,1400-1499,20-24.990000000000002,100-119
Honda,2006,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497,78.0,5.0,City,140000-149999,1400-1499,15-19.990000000000002,60-79
Hyundai,2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5.0,i20,120000-129999,1300-1399,20-24.990000000000002,80-99
Maruti,2007,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,5.0,Swift,120000-129999,1200-1299,15-19.990000000000002,80-99
Hyundai,2017,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5.0,Xcent,40000-49999,1100-1199,20-24.990000000000002,80-99
Maruti,2007,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,5.0,Wagon,170000-179999,1000-1099,15-19.990000000000002,40-59
Maruti,2001,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4.0,800,0-9999,700-799,15-19.990000000000002,20-39
Toyota,2011,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,5.0,Etios,90000-99999,1300-1399,20-24.990000000000002,60-79
Ford,2013,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,5.0,Figo,160000-169999,1300-1399,20-24.990000000000002,60-79
Renault,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5.0,Duster,60000-69999,1400-1499,15-19.990000000000002,100-119
Maruti,2005,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5.0,Zen,100000-109999,900-999,15-19.990000000000002,60-79
Maruti,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5.0,Swift,140000-149999,1200-1299,15-19.990000000000002,60-79
Maruti,2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5.0,Wagon,90000-99999,1000-1099,15-19.990000000000002,60-79
Mahindra,2016,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,5.0,KUV,40000-49999,1100-1199,15-19.990000000000002,80-99
Maruti,2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7.0,Ertiga,70000-79999,1200-1299,20-24.990000000000002,80-99
Hyundai,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5.0,i20,50000-59999,1300-1399,20-24.990000000000002,80-99
Maruti,2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Alto,80000-89999,700-799,15-19.990000000000002,40-59
Hyundai,2016,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5.0,i20,100000-109999,1300-1399,20-24.990000000000002,80-99
